Date,SIBT,ALDT,AIBT,Flight In,A/C Type,Flight Out,SOBT,AOBT,ATOT,Original Bay,Original Gate,Final Bay,Bay History 1,Bay Reason 1,Gate History 1,Gate Reason 1,Bay History 2,Bay Reason 2,Gate History 2,Gate Reason 2,Bay History 3,Bay Reason 3,Gate History 3,Gate Reason 3,Bay History 4,Bay Reason 4,Gate History 4,Gate Reason 4,Bay History 5,Bay Reason 5,Gate History 5,Gate Reason 5
3/29/2026,09:45/29,,,MH 786,7M8,MH 787,10:30/29,,,9,10,10,10,Stand Occ,10,,,,,,,,,,,,,,,,,
3/29/2026,10:00/29,,,FD 3029,320,FD 3030,10:40/29,,,7,9,9,34R,Stand Occ,84,,9,Contact Avail,9,,,,,,,,,,,,,
3/29/2026,10:05/29,,,6E 1071,32Q,6E 1074,11:05/29,,,40,83I,33L,33L,Stand Occ,83I,,,,,,,,,,,,,,,,,
3/29/2026,10:50/29,,,SQ 728,7M8,SQ 727,11:40/29,,,15,15,7,7,Stand Occ,15,,,,,,,,,,,,,,,,,
3/29/2026,12:00/29,,,EK 378,77W,EK 379,19:55/29,,,32,11I,32 > 11 @16.30,32 > 11 @16.30,Others,11I,,,,,,,,,,,,,,,,,
3/29/2026,12:00/29,,,MJJ711,CN7,MJJ711,13:00/29,,,37,,51,51,Stand Occ,,,,,,,,,,,,,,,,,,
3/29/2026,12:10/29,,,PG 275,319,PG 276,12:55/29,,,8,08I,5,5,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/29/2026,12:20/29,,,TG 207,320,TG 208,13:00/29,,,5,05I,9,8,Stand Occ,05I,,9,Stand Occ,05I,,,,,,,,,,,,,
3/29/2026,12:50/29,,,CA 413,32Q,CA 414,14:00/29,,,9,82I,37,8,Stand Occ,09I,,37,Stand Occ,82I,,,,,,,,,,,,,
3/29/2026,13:05/29,,,FD 4110,320,FD 4111,13:35/29,,,6,06D,7,7,Stand Occ,06D,,,,,,,,,,,,,,,,,
3/29/2026,13:05/29,,,VZ 414,320,VZ 417,13:35/29,,,7,07D,6,6,Stand Occ,07D,,,,,,,,,,,,,,,,,
3/29/2026,13:10/29,,,6B 729,789,6B 730,15:15/29,,,33,82I,14,14,Contact Avail,82I,,,,,,,,,,,,,,,,,
3/29/2026,13:20/29,,,MH 794,738,MH 795,14:05/29,,,34R,82I,15,9,Contact Avail,82I,,15,Stand Occ,82I,,,,,,,,,,,,,
3/29/2026,13:30/29,,,SU 636,77W,SU 642,15:15/29,,,8,08I,9,9,Stand Occ,08I,,12,Stand Occ,08I,,9,Stand Occ,08I,,,,,,,,,
3/29/2026,14:05/29,,,PG 273,320,PG 274,14:45/29,,,6,06I,8,8,Stand Occ,06I,,,,,,,,,,,,,,,,,
3/29/2026,14:20/29,,,ZF 2919,76W,ZF 2924,14:50/29,,,40,82I,40,,,82I,Gate Congestion,,,,,,,,,,,,,,,,
3/29/2026,14:30/29,,,SLF203,,,,,,54,,51,51,Stand Occ,,,,,,,,,,,,,,,,,,
3/29/2026,14:55/29,,,SU 576,77W,SU 577,17:00/29,,,9,84,33 >11 @14.20,33,Stand Occ,82I,,33 >9 @15.20,Others,82I,,33 >11 @14.20,Others,82I,,,,84,Gate Congestion,,,,
3/29/2026,15:05/29,,,QP 623,7M8,QP 624,16:10/29,,,11,15,15,10,Stand Occ,11I,,9,Stand Occ,9,,15,Stand Occ,15,,,,,,,,,
3/29/2026,15:55/29,,,EO 3519,772,EO 3478,18:10/29,,,14,12,10,12,Stand Occ,12,,10,Stand Occ,12,,,,,,,,,,,,,
3/29/2026,16:25/29,,,TK 172,333,TK 173,22:35/29,,,10,83I,10 >33 @17.30,10 >33 @17.30,Others,83I,,,,,,,,,,,,,,,,,
3/29/2026,16:35/29,,,AK 820,320,AK 821,17:05/29,,,15,15,10,10,Stand Occ,15,,,,,,,,,,,,,,,,,
3/29/2026,17:10/29,,,SQ 736,7M8,SQ 735,18:00/29,,,39,12,12,12,Contact Avail,12,,,,,,,,,,,,,,,,,
3/29/2026,17:20/29,,,CX 773,333,CX 778,18:20/29,,,12,14,14,14,Stand Occ,14,,,,,,,,,,,,,,,,,
3/29/2026,17:35/29,,,FD 3166,320,FD 3167,18:10/29,,,3,84D,2,2,Stand Occ,84D,,,,,,,,,,,,,,,,,
3/29/2026,17:45/29,,,CA 821,7M8,CA 822,19:25/29,,,8,08I,15,15,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/29/2026,17:55/29,,,FD 3021,320,FD 3022,18:25/29,,,4,04I,8,8,Stand Occ,04I,,,,,,,,,,,,,,,,,
3/29/2026,18:00/29,,,3U 3931,321,3U 3932,19:05/29,,,37,83I,40,40,Stand Occ,83I,,,,,,,,,,,,,,,,,
3/29/2026,18:20/29,,,EY 412,781,EY 413,21:20/29,,,10,10I,12,12,Stand Occ,10I,,,,,,,,,,,,,,,,,
3/29/2026,18:20/29,,,OD 542,7M8,OD 543,19:10/29,,,15,81I,37,37,Stand Occ,81I,,,,,,,,,,,,,,,,,
3/29/2026,18:25/29,,,VZ 416,320,VZ 762,22:05/29,,,16,84I,16,,,84I,Gate Congestion,,,,,,,,,,,,,,,,
3/29/2026,18:30/29,,,PG 277,320,PG 278,19:10/29,,,7,07I,6,6,Stand Occ,07I,,,,,,,,,,,,,,,,,
3/29/2026,18:35/29,,,TG 217,330,TG 218,19:15/29,,,6,07I,10,7,Stand Occ,07I,,10,Stand Occ,07I,,,,,,,,,,,,,
3/29/2026,18:45/29,,,FD 3027,32Q,FD 3028,19:20/29,,,3,84I,9,9,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/29/2026,19:10/29,,,QZ 246,320,QZ 247,19:40/29,,,15,82I,34R,34R,Stand Occ,82I,,,,,,,,,,,,,,,,,
3/29/2026,19:15/29,,,SQ 740,7M8,SQ 739,20:10/29,,,14,14,15,15,Stand Occ,14,,,,,,,,,,,,,,,,,
3/29/2026,19:20/29,,,AK 826,320,AK 827,19:50/29,,,12,12,14,14,Stand Occ,12,,,,,,,,,,,,,,,,,
3/29/2026,19:25/29,,,SL 762,738,SL 763,20:15/29,,,1,84I,7,7,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/29/2026,19:45/29,,,AI 2376,32N,AI 2377,22:20/29,,,40,84I,14,14,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/29/2026,20:00/29,,,FD 4114,320,FD 4115,20:30/29,,,7,07D,6,6,Stand Occ,07D,,,,,,,,,,,,,,,,,
3/29/2026,21:15/29,,,PG 279,319,PG 280,21:55/29,,,8,08I,6,6,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/29/2026,21:45/29,,,FD 4419,320,FD 4420,22:15/29,,,6,06D,8,8,Stand Occ,06D,,,,,,,,,,,,,,,,,
3/29/2026,21:50/29,,,6E 1081,32Q,6E 1082,22:50/29,,,38,82I,39,39,Stand Occ,82I,,,,,,,,,,,,,,,,,
3/29/2026,22:00/29,,,FM 857,7M8,FM 858,23:05/29,,,37,81I,16,16,Stand Occ,81I,,,,,,,,,,,,,,,,,
3/29/2026,22:10/29,,,KE 677,789,KE 678,23:25/29,,,10,10I,14,14,Stand Occ,10I,,,,,,,,,,,,,,,,,
3/29/2026,22:25/29,,,QR 826,351,QR 827,05:30/30,,,14,14,10,10,Stand Occ,14,,,,,,,,,,,,,,,,,
3/29/2026,22:40/29,,,9C 8521,320,9C 8522,23:35/29,,,39,83I,15,15,Contact Avail,83I,,,,,,,,,,,,,,,,,
3/29/2026,22:45/29,,,FM 831,7M8,FM 832,00:05/30,,,40,82I,12,12,Stand Occ,82I,,,,,,,,,,,,,,,,,
3/30/2026,08:35/30,,,SQ 726,7M8,SQ 725,09:25/30,,,40,11,11,11,Contact Avail,11,,,,,,,,,,,,,,,,,
3/30/2026,10:05/30,,,6E 1071,32Q,6E 1074,11:05/30,,,34L,83I,40,40,Stand Occ,83I,,,,,,,,,,,,,,,,,
3/30/2026,10:30/30,,,UO 724,32N,UO 725,11:15/30,,,40,82I,35,35,Stand Occ,82I,,,,,,,,,,,,,,,,,
3/30/2026,10:40/30,,,AK 832,320,AK 833,11:10/30,,,33L,10I,10,10,Contact Avail,10I,,,,,,,,,,,,,,,,,
3/30/2026,11:25/30,,,SL 754,738,SL 755,12:05/30,,,7,05I,5,5,Stand Occ,05I,,,,,,,,,,,,,,,,,
3/30/2026,11:55/30,,,TR 656,32Q,TR 657,13:15/30,,,33R,82I,11,11,Contact Avail,82I,,,,,,,,,,,,,,,,,
3/30/2026,11:55/30,,,VZ 304,320,VZ 305,12:35/30,,,5,05I,8,8,Stand Occ,05I,,,,,,,,,,,,,,,,,
3/30/2026,12:10/30,,,PG 275,319,PG 276,12:55/30,,,8,08I,4,4,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/30/2026,12:20/30,,,TG 207,320,TG 208,13:00/30,,,4,04I,5,5,Stand Occ,04I,,,,,,,,,,,,,,,,,
3/30/2026,12:30/30,,,OD 540,738,OD 541,13:30/30,,,11,81,35,35,Stand Occ,81,,,,,,,,,,,,,,,,,
3/30/2026,12:50/30,,,CA 413,32Q,CA 414,14:00/30,,,35,83I,14,14,Contact Avail,83I,,,,,,,,,,,,,,,,,
3/30/2026,12:55/30,,,LO 6195,788,LO 6194,15:00/30,,,14,14,11,11,Stand Occ,14,,,,,,,,,,,,,,,,,
3/30/2026,13:00/30,,,AK 824,320,AK 825,13:35/30,,,37,84I,12,12,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/30/2026,13:05/30,,,FD 4110,320,FD 4111,13:35/30,,,5,05D,8,8,Stand Occ,05D,,,,,,,,,,,,,,,,,
3/30/2026,13:25/30,,,KC 8103,321,KC 8104,14:50/30,,,16,14,14,14,Contact Avail,14,,,,,,,,,,,,,,,,,
3/30/2026,13:50/30,,,VZ 401,320,VZ 303,14:25/30,,,8,08I,5,5,Stand Occ,08I,,,,,,,,,,,,,,,,,
3/30/2026,13:55/30,,,FY 3600,738,FY 3601,14:35/30,,,9,83,16,16,Stand Occ,83,,,,,,,,,,,,,,,,,
3/30/2026,14:05/30,,,PG 273,320,PG 274,14:45/30,,,5,05I,8,8,Stand Occ,05I,,,,,,,,,,,,,,,,,
3/30/2026,14:15/30,,,AK 1820,320,AK 1821,14:55/30,,,11,9,9,9,Stand Occ,9,,,,,,,,,,,,,,,,,
3/30/2026,15:25/30,,,N4 3477,333,N4 3478,17:25/30,,,11,11I,CNL,CNL,Stand Occ,11I,,,,,,,,,,,,,,,,,
3/30/2026,16:25/30,,,TK 172,333,TK 173,22:35/30,,,33,82I,33>12 @2030,11 > 33 @ 1730,Others,82I,,33 > 12 @ 2030,Others,82I,,,,,,,,,,,,,
3/30/2026,15:35/30,,,FD 3162,320,FD 4123,16:10/30,,,5,05D,6,6,Stand Occ,05D,,,,,,,,,,,,,,,,,
3/30/2026,15:50/30,,,FD 4112,320,FD 4113,16:20/30,,,6,06D,5,5,Stand Occ,06D,,,,,,,,,,,,,,,,,
3/30/2026,16:15/30,,,FD 3007,320,FD 3008,16:45/30,,,1,84I,7,7,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/30/2026,17:35/30,,,EO 3477,772,EO 3434,19:35/30,,,31,12,12,12,Contact Avail,12,,,,,,,,,,,,,,,,,
3/30/2026,17:35/30,,,FD 3166,320,FD 3167,18:10/30,,,3,84D,1,1,Stand Occ,84D,,,,,,,,,,,,,,,,,
3/30/2026,17:40/30,,,PG 289,AT7,PG 406,18:15/30,,,1,83D,2,2,Stand Occ,83D,,,,,,,,,,,,,,,,,
3/30/2026,17:55/30,,,FD 3021,320,FD 3022,18:25/30,,,5,6,6,6,Stand Occ,6,,,,,,,,,,,,,,,,,
3/30/2026,19:15/30,,,SQ 740,7M8,SQ 739,20:10/30,,,12,8,8,35,Stand Occ,84,,8,Contact Avail,8,,,,,,,,,,,,,
3/30/2026,19:25/30,,,SL 762,739,SL 763,20:15/30,,,8,7,7,7,Stand Occ,7,,,,,,,,,,,,,,,,,
3/30/2026,19:45/30,,,AI 2376,32N,AI 2377,22:20/30,,,40,84I,15,15,Contact Avail,84I,,,,,,,,,,,,,,,,,
3/30/2026,19:50/30,,,WY 831,7M8,WY 832,20:50/30,,,15,82,38,38,Stand Occ,82,,,,,,,,,,,,,,,,,
3/30/2026,20:00/30,,,FD 4114,320,FD 4115,20:30/30,,,6,4,4,4,Stand Occ,4,,,,,,,,,,,,,,,,,
3/30/2026,20:40/30,,,TG 221,321,TG 222,21:20/30,,,7,10,10,10,Stand Occ,10,,,,,,,,,,,,,,,,,
3/30/2026,21:15/30,,,OZ 747,333,OZ 748,22:25/30,,,12,14,14,14,Stand Occ,14,,,,,,,,,,,,,,,,,
3/30/2026,21:30/30,,,JQ 069,32Q,JQ 070,23:00/30,,,15,84,40,40,Stand Occ,84,,,,,,,,,,,,,,,,,
3/30/2026,22:10/30,,,KE 677,789,KE 678,23:25/30,,,14,11,11,11,Stand Occ,11,,,,,,,,,,,,,,,,,
3/30/2026,22:45/30,,,FM 831,7M8,FM 832,00:05/31,,,38,81I,15,15,Contact Avail,81I,,,,,,,,,,,,,,,,,
3/30/2026,22:55/30,,,VZ 312,320,VZ 415,08:15/31,,,4,83,3,3,Stand Occ,83,,,,,,,,,,,,,,,,,
3/30/2026,23:10/30,,,DD 536,738,DD 539,07:45/31,,,8,08D,5,5,Stand Occ,08D,,,,,,,,,,,,,,,,,
3/30/2026,23:30/30,,,VZ 316,321,VZ 317,07:30/31,,,5,05D,4,4,Stand Occ,05D,,,,,,,,,,,,,,,,,
3/31/2026,13:40/31,14:04/01,,N4 3477,333,N4 3470,15:20/31,,16:09/01,9,83,33,33,Stand Occ,83,,,,,,,,,,,,,,,,,
3/31/2026,07:40/31,07:40/31,,SU 634,77W,SU 637,09:25/31,,14:20/01,12,12,11,11,Stand Occ,12,,,,,,,,,,,,,,,,,
3/31/2026,07:50/31,07:50/31,,BY 104,788,BY 105,09:50/31,,14:20/01,11,11I,12,12,Stand Occ,11I,,,,,,,,,,,,,,,,,
3/31/2026,08:10/31,07:58/01,,SL 750,739,SL 751,08:50/31,,09:04/01,6,06I,7,7,Stand Occ,06I,,,,,,,,,,,,,,,,,
3/31/2026,08:25/31,08:05/01,,VZ 314,321,VZ 315,08:55/31,,09:10/01,7,07I,6,6,Stand Occ,07I,,,,,,,,,,,,,,,,,
3/31/2026,08:35/31,08:39/01,,SQ 726,7M8,SQ 725,09:25/31,,09:56/01,16,08I,8,8,Contact Avail,08I,,,,,,,,,,,,,,,,,
3/31/2026,09:10/31,08:59/01,,SL 752,739,SL 753,09:50/31,,10:06/01,6,07D,7,7,Stand Occ,07D,,,,,,,,,,,,,,,,,
3/31/2026,09:15/31,09:08/01,,FD 3039,320,FD 3038,09:55/31,,10:04/01,7,06I,6,6,Stand Occ,06I,,,,,,,,,,,,,,,,,
3/31/2026,09:35/31,10:02/01,,TG 203,320,TG 204,10:15/31,,10:51/01,8,07D,7,7,Stand Occ,07D,,,,,,,,,,,,,,,,,
3/31/2026,09:45/31,09:40/01,,SL 758,738,SL 759,10:45/31,,11:01/01,2,5,5,5,Contact Avail,5,,,,,,,,,,,,,,,,,
3/31/2026,09:45/31,09:54/01,,MH 786,7M8,MH 787,10:30/31,,11:18/01,15,11I,11,11,Stand Occ,11I,,,,,,,,,,,,,,,,,
3/31/2026,10:00/31,10:13/01,,FD 3029,320,FD 3030,10:40/31,,10:57/01,5,06I,6,6,Stand Occ,06I,,,,,,,,,,,,,,,,,
3/31/2026,10:05/31,09:24/01,,6E 1071,321,6E 1074,11:05/31,,14:20/01,16,15,15,15,Contact Avail,15,,,,,,,,,,,,,,,,,
3/31/2026,10:55/31,10:47/01,,VJ 809,320,VJ 808,11:55/31,,12:07/01,15,84I,14,16,Stand Occ,84I,Gate Congestion,14,Contact Avail,84I,,,,,,,,,,,,,
3/31/2026,11:20/31,10:42/01,,6E 1073,321,6E 1072,12:20/31,,14:39/01,14,84,16,16,Stand Occ,84,,,,,,,,,,,,,,,,,
3/31/2026,11:45/31,11:16/01,,6E 1077,32N,6E 1076,12:45/31,,14:53/01,16,15,15,15,Contact Avail,15,,,,,,,,,,,,,,,,,
3/31/2026,12:00/31,12:10/01,,EK 378,77W,EK 379,19:55/31,,20:13/01,31,81I,14>31@1400,14 > 31 @ 1400,Others,81I,,,,,,,,,,,,,,,,,
3/31/2026,12:30/31,12:26/01,,OD 540,738,OD 541,13:30/31,,14:20/01,15,12,12,12,Stand Occ,12,,,,83I,,,,,,,,,,,,,
3/31/2026,12:50/31,12:30/01,,CA 413,32Q,CA 414,14:00/31,,14:20/01,11,15,15,15,Stand Occ,15,,,,,,,,,,,,,,,,,
3/31/2026,13:00/31,14:25/01,,AK 824,320,AK 825,13:35/31,,15:18/01,14,09I,9,9,Stand Occ,09I,,,,,,,,,,,,,,,,,
3/31/2026,13:15/31,13:02/01,,TR 644,32Q,TR 645,14:15/31,,14:35/01,16,11I,11,11,Contact Avail,11I,,,,,,,,,,,,,,,,,
3/31/2026,14:05/31,13:48/01,,PG 273,320,PG 274,14:45/31,,14:59/01,5,04D,4,4,Stand Occ,04D,Gate Congestion,,,,,,,,,,,,,,,,
3/31/2026,14:50/31,14:43/01,,DD 524,738,DD 525,15:15/31,,15:44/01,4,05D,5,5,Stand Occ,05D,,,,,,,,,,,,,,,,,
3/31/2026,19:15/31,19:17/01,,SQ 740,7M8,SQ 739,20:10/31,,20:36/01,10,09I,9,9,Stand Occ,09I,,,,,,,,,,,,,,,,,
3/31/2026,19:20/31,20:34/01,,AK 826,320,AK 827,19:50/31,,21:25/01,38,82I,15,15,Contact Avail,82I,,,,,,,,,,,,,,,,,
3/31/2026,19:25/31,19:48/01,,SL 762,738,SL 763,20:15/31,,20:38/01,9,04I,4,7,Stand Occ,07I,,4,Stand Occ,04I,,,,,,,,,,,,,
3/31/2026,19:40/31,20:03/01,,QZ 246,320,QZ 247,20:10/31,,20:56/01,12,14,14,14,Stand Occ,14,,,,,,,,,,,,,,,,,
3/31/2026,20:00/31,20:06/01,,FD 4114,320,FD 4115,20:30/31,,20:48/01,4,04D,6,6,Stand Occ,04D,,,,,,,,,,,,,,,,,
3/31/2026,20:05/31,20:11/01,,FD 3009,320,FD 3010,20:35/31,,20:53/01,7,08I,8,8,Stand Occ,08I,Gate Congestion,,,,,,,,,,,,,,,,
3/31/2026,20:35/31,20:29/01,,FD 3011,320,FD 3012,21:05/31,,21:09/01,6,06I,7,7,Stand Occ,06I,,,,,,,,,,,,,,,,,
3/31/2026,21:15/31,23:06/01,,PG 279,319,PG 280,21:55/31,,00:12/02,7,07D,9,9,Stand Occ,07D,,,,,,,,,,,,,,,,,
3/31/2026,22:40/31,23:00/01,,9C 8521,320,9C 8522,23:35/31,,00:27/02,16,83I,15,15,Contact Avail,83I,,,,,,,,,,,,,,,,,
3/31/2026,22:45/31,22:49/01,,FM 831,7M8,FM 832,00:05/01,,00:37/01,14,14,10,10,Stand Occ,14,,,,,,,,,,,,,,,,,
3/31/2026,23:00/31,22:54/01,,PG 287,319,PG 270,07:35/01,,07:35/01,4,04D,8,8,Stand Occ,04D,,,,,,,,,,,,,,,,,
3/31/2026,23:15/31,22:05/01,,SL 770,738,SL 771,07:55/01,,07:55/01,8,84,4,2,Stand Occ,84,,4,Contact Avail,84,,,,,,,,,,,,,
4/1/2026,08:45/01,11:22/01,,N4 3469,333,N4 3478,11:35/01,,13:33/01,12,12,14,14,Stand Occ,12,,,,,,,,,,,,,,,,,
4/1/2026,10:00/01,09:52/01,,FD 3029,320,FD 3030,10:40/01,,10:43/01,8,08I,9,9,Stand Occ,08I,,,,,,,,,,,,,,,,,
4/1/2026,10:30/01,10:30/01,,UO 724,32N,UO 725,11:15/01,,11:45/01,9,09I,14,14,Stand Occ,09I,,,,,,,,,,,,,,,,,
4/1/2026,10:50/01,10:55/01,,CX 771,333,CX 770,11:50/01,,12:32/01,14,14,12,12,Stand Occ,14,,,,,,,,,,,,,,,,,
4/1/2026,11:20/01,10:50/01,,6E 1073,32Q,6E 1072,12:20/01,,12:21/01,38,82I,9,9,Contact Avail,82I,,,,,,,,,,,,,,,,,
4/1/2026,11:20/01,10:37/01,,6E 1087,32N,6E 1088,12:25/01,,13:05/01,34R,82I,34R,,,82I,Gate Congestion,,,,,,,,,,,,,,,,
4/1/2026,11:25/01,11:42/01,,SL 754,738,SL 755,12:05/01,,13:33/01,5,05D,8,8,Stand Occ,05D,,,,,,,,,,,,,,,,,
4/1/2026,11:45/01,11:05/01,,6E 1077,32N,6E 1076,12:45/01,,12:47/01,9,83I,38,38,Stand Occ,83I,,,,,,,,,,,,,,,,,
4/1/2026,11:55/01,11:47/01,,VZ 304,320,VZ 305,12:35/01,,12:56/01,8,08D,5,5,Stand Occ,08D,,,,,,,,,,,,,,,,,
4/1/2026,12:10/01,13:09/01,,PG 275,319,PG 276,12:55/01,,14:13/01,6,06I,7,7,Stand Occ,06I,,,,,,,,,,,,,,,,,
4/1/2026,12:15/01,12:05/01,,TR 656,32Q,TR 657,13:15/01,,13:23/01,10,10I,9,12,Stand Occ,10I,,9,Stand Occ,10I,,,,,,,,,,,,,
4/1/2026,12:45/01,11:50/01,,EO 3519,772,EO 3484,14:40/01,,14:19/01,14,14,10,10,Stand Occ,14,,,,,,,,,,,,,,,,,
4/1/2026,13:20/01,13:17/01,,MH 794,738,MH 795,14:05/01,,14:24/01,37,82I,9,9,Contact Avail,82I,,,,,,,,,,,,,,,,,
4/1/2026,13:20/01,12:55/01,,SU 584,77W,SU 585,15:55/01,,15:55/01,9,09I,12,12,Stand Occ,09I,,,,,,,,,,,,,,,,,
4/1/2026,13:50/01,13:37/01,,SL 756,739,SL 757,14:30/01,,14:59/01,7,07D,5,5,Stand Occ,07D,,,,,,,,,,,,,,,,,
4/1/2026,13:55/01,13:56/01,,FY 3600,738,FY 3601,14:35/01,,14:51/01,12,12,15,15,Stand Occ,12,,,,,,,,,,,,,,,,,
4/1/2026,14:05/01,14:04/01,,PG 273,320,PG 274,14:45/01,,15:06/01,5,05I,8,8,Stand Occ,05I,,,,,,,,,,,,,,,,,
4/1/2026,14:10/01,13:51/01,,SQ 732,7M8,SQ 731,15:00/01,,15:14/01,10,10I,14,14,Stand Occ,10I,,,,,,,,,,,,,,,,,
4/1/2026,15:20/01,15:46/01,,TK 172,333,TK 173,22:35/01,,23:07/01,33,82I,33>14 @2030,9 > 33 @ 1640,Others,82I,,33 > 14 @ 2030,Others,82I,,,,,,,,,,,,,
4/1/2026,16:35/01,17:02/01,,AK 820,320,AK 821,17:05/01,,18:03/01,15,81I,16,16,Stand Occ,81I,,,,,,,,,,,,,,,,,
4/1/2026,16:50/01,16:27/01,,VZ 306,321,VZ 307,17:20/01,,17:27/01,9,09D,6,6,Stand Occ,09D,,,,,,,,,,,,,,,,,
4/1/2026,17:10/01,17:08/01,,SQ 736,7M8,SQ 735,18:00/01,,18:22/01,11,11I,9,9,Stand Occ,11I,,,,,,,,,,,,,,,,,
4/1/2026,17:25/01,17:56/01,,MH 790,738,MH 791,18:05/01,,19:00/01,8,10I,10,10,Stand Occ,10I,,,,,,,,,,,,,,,,,
4/1/2026,17:55/01,18:44/01,,FD 3021,320,FD 3022,18:25/01,,19:47/01,6,84I,2,2,Stand Occ,84I,,,,,,,,,,,,,,,,,
4/1/2026,18:45/01,21:33/01,,AK 8564,32X,AK 8565,20:20/01,,22:38/01,2,,3,3,Stand Occ,,,,,,,,,,,,,,,,,,
4/1/2026,19:05/01,18:58/01,,VZ 2304,738,VZ 2305,19:35/01,,20:00/01,16,10I,10,10,Contact Avail,10I,,,,,,,,,,,,,,,,,
4/1/2026,19:10/01,20:03/01,,QZ 246,320,QZ 247,19:40/01,,21:31/01,10,81I,16,16,Stand Occ,81I,,,,,,,,,,,,,,,,,
4/1/2026,19:15/01,19:30/01,,SQ 740,7M8,SQ 739,20:10/01,,20:52/01,37,14,14,14,Contact Avail,14,,,,,,,,,,,,,,,,,
4/1/2026,19:45/01,21:22/01,,AI 2376,32N,AI 2377,22:20/01,,22:30/01,40,81I,37,37,Stand Occ,81I,,,,,,,,,,,,,,,,,
4/1/2026,19:50/01,19:50/01,,TR 652,32Q,TR 653,20:50/01,,21:23/01,14,83I,38,38,Stand Occ,83I,,,,,,,,,,,,,,,,,
4/1/2026,21:15/01,21:29/01,,OZ 747,333,OZ 748,22:25/01,,23:11/01,14,12,12,12,Stand Occ,12,,,,,,,,,,,,,,,,,
4/1/2026,21:45/01,21:44/01,,FD 4419,320,FD 4420,22:15/01,,22:27/01,6,06D,4,4,Stand Occ,06D,,,,,,,,,,,,,,,,,
4/1/2026,21:50/01,21:40/01,,6E 1081,32Q,6E 1082,22:50/01,,22:59/01,12,82I,34R,34R,Stand Occ,82I,,,,,,,,,,,,,,,,,
4/1/2026,22:00/01,22:02/01,,FM 857,7M8,FM 858,23:05/01,,23:30/01,35,84I,38,38,Stand Occ,84I,,,,,,,,,,,,,,,,,
4/2/2026,06:55/02,06:58/02,,EY 414,789,EY 415,08:00/02,,09:11/02,9,9,9,10,,,Gate Congestion,,,,,,,,,,,,,,,,
4/2/2026,07:25/02,07:24/02,,AI 2378,32N,AI 2379,08:25/02,,08:34/02,10,10,10,9,,,Gate Congestion,,,,,,,,,,,,,,,,
4/2/2026,08:35/02,08:39/02,,SQ 726,7M8,SQ 725,09:25/02,,10:03/02,40,09I,9,9,Stand Occ,09I,Gate Congestion,,,,,,,,,,,,,,,,
4/2/2026,09:10/02,10:06/02,,ZF 2955,76W,ZF 2964,10:55/02,,12:24/02,15,82I,16,16,Stand Occ,82I,,,,,,,,,,,,,,,,,
4/2/2026,09:15/02,09:11/02,,FD 3039,320,FD 3038,09:55/02,,09:59/02,7,07I,8,8,Stand Occ,07I,,,,,,,,,,,,,,,,,
4/2/2026,09:30/02,10:13/02,,FD 4124,320,FD 4125,10:15/02,,10:58/02,4,04D,6,6,Stand Occ,04D,,,,,,,,,,,,,,,,,
4/2/2026,09:35/02,09:27/02,,PG 271,320,PG 272,10:20/02,,10:23/02,8,08I,7,7,Stand Occ,08I,,,,,,,,,,,,,,,,,
4/2/2026,09:35/02,09:32/02,,TG 203,320,TG 204,10:15/02,,10:28/02,9,09I,4,4,Stand Occ,09I,,,,,,,,,,,,,,,,,
4/2/2026,09:45/02,09:48/02,,MH 786,7M8,MH 787,10:30/02,,11:03/02,16,83I,9,9,Contact Avail,83I,,,,,,,,,,,,,,,,,
4/2/2026,09:55/02,10:26/02,,N4 3477,333,N4 3516,12:15/02,,12:34/02,32,84I,31,8,Contact Avail,83I,,31,Stand Occ,84I,,,,,,,,,,,,,
4/2/2026,10:05/02,09:24/02,,6E 1071,32Q,6E 1074,11:05/02,,11:35/02,40,82I,15,33L,Stand Occ,82I,,15,Contact Avail,82I,,,,,,,,,,,,,
4/2/2026,10:30/02,10:31/02,,UO 724,32Q,UO 725,11:15/02,,12:03/02,39,81I,8,8,Contact Avail,81I,,,,,,,,,,,,,,,,,
4/2/2026,10:50/02,10:49/02,,SQ 728,7M8,SQ 727,11:40/02,,12:21/02,35,84I,7,7,Contact Avail,84I,,,,,,,,,,,,,,,,,
4/2/2026,10:55/02,10:41/02,,VJ 809,32Q,VJ 808,11:55/02,,12:13/02,16,81I,39,39,Stand Occ,81I,,,,,,,,,,,,,,,,,
4/2/2026,11:00/02,10:57/02,,TG 205,320,TG 206,11:40/02,,12:09/02,7,07I,4,4,Stand Occ,07I,,,,,,,,,,,,,,,,,
4/2/2026,11:20/02,11:23/02,,KC 163,32Q,KC 164,13:25/02,,13:32/02,38,81I,15,3,Stand Occ,81I,,15,Contact Avail,81I,,,,,,,,,,,,,
